Date,Open,High,Low,Close,Adj Close,Volume
7/29/2020,11276.90039,11341.40039,11149.75,11202.84961,11202.84961,600700
7/30/2020,11254.29981,11299.9502,11084.9502,11102.15039,11102.15039,677800
7/31/2020,11139.5,11150.40039,11026.65039,11073.4502,11073.4502,642600
8/3/2020,11057.54981,11058.04981,10882.25,10891.59961,10891.59961,680900
8/4/2020,10946.65039,11112.25,10908.09961,11095.25,11095.25,625700
8/5/2020,11155.75,11225.65039,11064.04981,11101.65039,11101.65039,667600
8/6/2020,11185.7002,11256.79981,11127.29981,11200.15039,11200.15039,600400
8/7/2020,11186.65039,11231.90039,11142.04981,11214.04981,11214.04981,452600
8/10/2020,11270.25,11337.29981,11238,11270.15039,11270.15039,492000
8/11/2020,11322.25,11373.59961,11299.15039,11322.5,11322.5,586100
8/12/2020,11289,11322,11242.65039,11308.40039,11308.40039,609900
8/13/2020,11334.84961,11359.29981,11269.9502,11300.4502,11300.4502,562400
8/14/2020,11353.29981,11366.25,11111.4502,11178.40039,11178.40039,645100
8/17/2020,11248.90039,11267.09961,11144.5,11247.09961,11247.09961,634000
8/18/2020,11259.79981,11401.7002,11253.15039,11385.34961,11385.34961,579200
8/19/2020,11452.15039,11460.34961,11394.09961,11408.40039,11408.40039,626200
8/20/2020,11317.4502,11361.4502,11289.79981,11312.2002,11312.2002,791600
8/21/2020,11409.65039,11418.5,11362.2002,11371.59961,11371.59961,668700
8/24/2020,11412,11497.25,11410.65039,11466.4502,11466.4502,532900
8/25/2020,11513.09961,11525.90039,11423.34961,11472.25,11472.25,638200
8/26/2020,11512.84961,11561.75,11461.84961,11549.59961,11549.59961,743400
8/27/2020,11609.29981,11617.34961,11540.59961,11559.25,11559.25,719800
8/28/2020,11602.9502,11686.04981,11589.40039,11647.59961,11647.59961,807000
8/31/2020,11777.54981,11794.25,11325.84961,11387.5,11387.5,1371800
9/1/2020,11464.29981,11553.54981,11366.90039,11470.25,11470.25,783800
9/2/2020,11478.54981,11554.75,11430.40039,11535,11535,593500
9/3/2020,11566.2002,11584.9502,11507.65039,11527.4502,11527.4502,607100
9/4/2020,11354.40039,11452.04981,11303.65039,11333.84961,11333.84961,681300
9/7/2020,11359.59961,11381.15039,11251.7002,11355.04981,11355.04981,560300
9/8/2020,11378.54981,11437.25,11290.4502,11317.34961,11317.34961,572200
9/9/2020,11218.59961,11298.15039,11185.15039,11278,11278,728900
9/10/2020,11363.29981,11464.04981,11327.40039,11449.25,11449.25,679400
9/11/2020,11447.79981,11493.5,11419.90039,11464.4502,11464.4502,554800
9/14/2020,11540.15039,11568.90039,11383.54981,11440.04981,11440.04981,642300
9/15/2020,11487.2002,11535.9502,11442.25,11521.79981,11521.79981,506700
9/16/2020,11538.4502,11618.09961,11516.75,11604.54981,11604.54981,527800
9/17/2020,11539.40039,11587.2002,11498.5,11516.09961,11516.09961,0
9/18/2020,11584.09961,11584.09961,11446.09961,11504.9502,11504.9502,764200
9/21/2020,11503.79981,11535.25,11218.5,11250.54981,11250.54981,602900
9/22/2020,11301.75,11302.2002,11084.65039,11153.65039,11153.65039,672200
9/23/2020,11258.75,11259.54981,11024.40039,11131.84961,11131.84961,714900
9/24/2020,11011,11015.29981,10790.2002,10805.54981,10805.54981,706100
9/25/2020,10910.40039,11072.59961,10854.84961,11050.25,11050.25,559600
9/28/2020,11140.84961,11239.34961,11099.84961,11227.54981,11227.54981,472800
9/29/2020,11288.59961,11305.40039,11181,11222.40039,11222.40039,498300
9/30/2020,11244.4502,11295.40039,11184.54981,11247.54981,11247.54981,499300
10/1/2020,11364.4502,11428.59961,11347.04981,11416.9502,11416.9502,447700
10/5/2020,11487.79981,11578.04981,11452.29981,11503.34961,11503.34961,530600
10/6/2020,11603.4502,11680.29981,11564.29981,11662.40039,11662.40039,561400
10/7/2020,11679.25,11763.04981,11629.34961,11738.84961,11738.84961,513400
10/8/2020,11835.40039,11905.7002,11791.15039,11834.59961,11834.59961,608800
10/9/2020,11852.04981,11938.59961,11805.2002,11914.2002,11914.2002,611100
10/12/2020,11973.54981,12022.04981,11867.2002,11930.9502,11930.9502,522600
10/13/2020,11934.65039,11988.2002,11888.90039,11934.5,11934.5,458300
10/14/2020,11917.40039,11997.2002,11822.15039,11971.04981,11971.04981,569200
10/15/2020,12023.4502,12025.4502,11661.29981,11680.34961,11680.34961,608900
10/16/2020,11727.40039,11789.75,11667.84961,11762.4502,11762.4502,555800
10/19/2020,11879.2002,11898.25,11820.40039,11873.04981,11873.04981,541400
10/20/2020,11861,11949.25,11837.25,11896.79981,11896.79981,453600
10/21/2020,11958.54981,12018.65039,11775.75,11937.65039,11937.65039,623700
10/22/2020,11890,11939.54981,11823.4502,11896.4502,11896.4502,544900
10/23/2020,11957.90039,11974.54981,11908.75,11930.34961,11930.34961,502300
10/26/2020,11937.40039,11942.84961,11711.7002,11767.75,11767.75,519800
10/27/2020,11807.09961,11899.04981,11723,11889.40039,11889.40039,616300
10/28/2020,11922.59961,11929.40039,11684.84961,11729.59961,11729.59961,704000
10/29/2020,11633.29981,11744.15039,11606.4502,11670.79981,11670.79981,555000
10/30/2020,11678.4502,11748.9502,11535.4502,11642.40039,11642.40039,553700
11/2/2020,11697.34961,11725.65039,11557.40039,11669.15039,11669.15039,568400
11/3/2020,11734.4502,11836.2002,11723.29981,11813.5,11813.5,674300
11/4/2020,11783.34961,11929.65039,11756.40039,11908.5,11908.5,667300
11/5/2020,12062.40039,12131.09961,12027.59961,12120.29981,12120.29981,632500
11/6/2020,12156.65039,12280.40039,12131.84961,12263.54981,12263.54981,576800
11/9/2020,12399.40039,12474.04981,12367.34961,12461.04981,12461.04981,553400
11/10/2020,12556.40039,12643.90039,12475.25,12631.09961,12631.09961,847500
11/11/2020,12680.59961,12769.75,12571.09961,12749.15039,12749.15039,880500
11/12/2020,12702.15039,12741.15039,12624.84961,12690.79981,12690.79981,622000
11/13/2020,12659.7002,12735.9502,12607.7002,12719.9502,12719.9502,513900
11/14/2020,null,null,null,null,null,null
11/17/2020,12932.5,12934.04981,12797.09961,12874.2002,12874.2002,707700
11/18/2020,12860.09961,12948.84961,12819.34961,12938.25,12938.25,731300
11/19/2020,12839.5,12963,12745.75,12771.7002,12771.7002,768800
11/20/2020,12813.40039,12892.4502,12730.25,12859.04981,12859.04981,664000
11/23/2020,12960.29981,12968.84961,12825.7002,12926.4502,12926.4502,633100
11/24/2020,13002.59961,13079.09961,12978,13055.15039,13055.15039,571900
11/25/2020,13130,13145.84961,12833.65039,12858.40039,12858.40039,679000
11/26/2020,12906.4502,13018,12790.40039,12987,12987,549800
11/27/2020,13012.04981,13035.29981,12914.29981,12968.9502,12968.9502,1162400
12/1/2020,13062.2002,13128.40039,12962.79981,13109.04981,13109.04981,583600
12/2/2020,13121.40039,13128.5,12983.54981,13113.75,13113.75,717700
12/3/2020,13215.29981,13216.59961,13107.90039,13133.90039,13133.90039,713700
12/4/2020,13177.40039,13280.04981,13152.84961,13258.54981,13258.54981,640500
12/7/2020,13264.84961,13366.65039,13241.9502,13355.75,13355.75,591700
12/8/2020,13393.84961,13435.4502,13311.04981,13392.9502,13392.9502,543200
12/9/2020,13458.09961,13548.90039,13449.59961,13529.09961,13529.09961,502600
12/10/2020,13488.5,13503.54981,13399.29981,13478.29981,13478.29981,553400
12/11/2020,13512.29981,13579.34961,13402.84961,13513.84961,13513.84961,787700
12/14/2020,13571.4502,13597.5,13472.4502,13558.15039,13558.15039,558400
12/15/2020,13547.2002,13589.65039,13447.04981,13567.84961,13567.84961,497600
12/16/2020,13663.09961,13692.34961,13606.4502,13682.7002,13682.7002,462200
12/17/2020,13713.54981,13773.25,13673.54981,13740.7002,13740.7002,416000
12/18/2020,13764.40039,13772.84961,13658.59961,13760.54981,13760.54981,519400
12/21/2020,13741.90039,13777.5,13131.4502,13328.40039,13328.40039,687300
12/22/2020,13373.65039,13492.04981,13192.90039,13466.29981,13466.29981,696200
12/23/2020,13473.5,13619.4502,13432.2002,13601.09961,13601.09961,458700
12/24/2020,13672.15039,13771.75,13626.90039,13749.25,13749.25,471400
12/28/2020,13815.15039,13885.29981,13811.54981,13873.2002,13873.2002,403600
12/29/2020,13910.34961,13967.59961,13859.90039,13932.59961,13932.59961,439600
12/30/2020,13980.90039,13997,13864.9502,13981.9502,13981.9502,380700
12/31/2020,13970,14024.84961,13936.4502,13981.75,13981.75,452400
1/1/2021,null,null,null,null,null,null
1/4/2021,14104.34961,14147.9502,13953.75,14132.90039,14132.90039,495000
1/5/2021,14075.15039,14215.59961,14048.15039,14199.5,14199.5,492500
1/6/2021,14240.9502,14244.15039,14039.90039,14146.25,14146.25,632300
1/7/2021,14253.75,14256.25,14123.09961,14137.34961,14137.34961,559200
1/8/2021,14258.40039,14367.29981,14221.65039,14347.25,14347.25,613500
1/11/2021,14474.04981,14498.2002,14383.09961,14484.75,14484.75,672900
1/12/2021,14473.79981,14590.65039,14432.84961,14563.4502,14563.4502,929600
1/13/2021,14639.79981,14653.34961,14435.7002,14564.84961,14564.84961,874000
1/14/2021,14550.04981,14617.79981,14471.5,14595.59961,14595.59961,620200
1/15/2021,14594.34961,14617.4502,14357.84961,14433.7002,14433.7002,789600
1/18/2021,14453.29981,14459.15039,14222.79981,14281.29981,14281.29981,762000
1/19/2021,14371.65039,14546.04981,14350.84961,14521.15039,14521.15039,546100
1/20/2021,14538.29981,14666.4502,14517.54981,14644.7002,14644.7002,623100
1/21/2021,14730.9502,14753.54981,14517.25,14590.34961,14590.34961,704600
1/22/2021,14583.40039,14619.90039,14357.75,14371.90039,14371.90039,776800
1/25/2021,14477.79981,14491.09961,14218.59961,14238.90039,14238.90039,618600
1/27/2021,14237.9502,14237.9502,13929.29981,13967.5,13967.5,660700
1/28/2021,13810.40039,13898.25,13713.25,13817.54981,13817.54981,637900
1/29/2021,13946.59961,13966.84961,13596.75,13634.59961,13634.59961,753200
2/1/2021,13758.59961,14336.34961,13661.75,14281.2002,14281.2002,870500
2/2/2021,14481.09961,14731.7002,14469.15039,14647.84961,14647.84961,915000
2/3/2021,14754.90039,14868.84961,14574.15039,14789.9502,14789.9502,869500
2/4/2021,14789.04981,14913.7002,14714.75,14895.65039,14895.65039,884700
2/5/2021,14952.59961,15014.65039,14864.75,14924.25,14924.25,935600
2/8/2021,15064.29981,15159.90039,15041.04981,15115.79981,15115.79981,671200
2/9/2021,15164.15039,15257.09961,15064.29981,15109.29981,15109.29981,713300
2/10/2021,15119.04981,15168.25,14977.2002,15106.5,15106.5,624800
2/11/2021,15073.25,15188.5,15065.40039,15173.29981,15173.29981,500100
2/12/2021,15186.2002,15243.5,15081,15163.29981,15163.29981,571800
2/15/2021,15270.29981,15340.15039,15243.40039,15314.7002,15314.7002,456000
2/16/2021,15371.4502,15431.75,15242.2002,15313.4502,15313.4502,648500
2/17/2021,15279.90039,15314.29981,15170.75,15208.90039,15208.90039,504800
2/18/2021,15238.7002,15250.75,15078.04981,15118.9502,15118.9502,770600
2/19/2021,15074.79981,15144.04981,14898.2002,14981.75,14981.75,712200
2/22/2021,14999.04981,15010.09961,14635.04981,14675.7002,14675.7002,609900
2/23/2021,14782.25,14854.5,14651.84961,14707.79981,14707.79981,744100
2/24/2021,14729.15039,15008.79981,14504.5,14982,14982,403800
2/25/2021,15079.84961,15176.5,15065.34961,15097.34961,15097.34961,803900
2/26/2021,14888.59961,14919.4502,14467.75,14529.15039,14529.15039,1103600
3/1/2021,14702.5,14806.79981,14638.54981,14761.54981,14761.54981,507300
3/2/2021,14865.29981,14959.09961,14760.79981,14919.09961,14919.09961,621700
3/3/2021,15064.40039,15273.15039,14995.79981,15245.59961,15245.59961,544200
3/4/2021,15026.75,15202.34961,14980.2002,15080.75,15080.75,534900
3/5/2021,14977.9502,15092.34961,14862.09961,14938.09961,14938.09961,640700
3/8/2021,15002.4502,15111.15039,14919.90039,14956.2002,14956.2002,0
3/9/2021,15049.90039,15126.84961,14925.4502,15098.40039,15098.40039,675300
3/10/2021,15202.15039,15218.4502,15100.84961,15174.79981,15174.79981,404600
3/12/2021,15321.15039,15336.29981,14953.59961,15030.9502,15030.9502,493200
3/15/2021,15048.40039,15048.40039,14745.84961,14929.5,14929.5,467500
3/16/2021,14996.09961,15051.59961,14890.65039,14910.4502,14910.4502,100
3/17/2021,14946.54981,14956.54981,14696.04981,14721.29981,14721.29981,100
3/18/2021,14855.5,14875.2002,14478.59961,14557.84961,14557.84961,0
